buyer_id,date,hour,spend
13,5/31/18,17,$6.84 
13,5/31/18,18,$7.02 
13,5/31/18,19,$6.81 
13,5/31/18,20,$7.73 
13,5/31/18,21,$20.45 
13,5/31/18,22,$7.97 
13,5/31/18,23,$6.50 
13,6/1/18,0,$31.93 
13,6/1/18,1,$22.50 
13,6/1/18,2,$11.96 
13,6/1/18,3,$10.55 
13,6/1/18,4,$7.24 
13,6/1/18,5,$5.64 
13,6/1/18,6,$3.61 
13,6/1/18,7,$2.61 
13,6/1/18,8,$1.91 
13,6/1/18,9,$2.24 
13,6/1/18,10,$3.53 
13,6/1/18,11,$5.69 
13,6/1/18,12,$8.79 
13,6/1/18,13,$9.44 
13,6/1/18,14,$7.62 
13,6/1/18,15,$6.36 
13,6/1/18,16,$5.88 
13,6/1/18,17,$8.18 
13,6/1/18,18,$8.78 
13,6/1/18,19,$8.51 
13,6/1/18,20,$8.69 
13,6/1/18,21,$6.88 
13,6/1/18,22,$6.05 
13,6/1/18,23,$5.53 
13,6/2/18,0,$22.83 
13,6/2/18,1,$23.35 
13,6/2/18,2,$11.70 
13,6/2/18,3,$8.25 
13,6/2/18,4,$4.50 
13,6/2/18,5,$4.22 
13,6/2/18,6,$3.10 
13,6/2/18,7,$2.01 
13,6/2/18,8,$1.74 
13,6/2/18,9,$1.90 
13,6/2/18,10,$2.74 
13,6/2/18,11,$3.69 
13,6/2/18,12,$3.50 
13,6/2/18,13,$3.61 
13,6/2/18,14,$3.61 
14,5/24/18,20,$0.09 
14,5/24/18,21,$0.00 
14,5/24/18,22,$0.00 
14,5/25/18,6,$0.01 
14,5/25/18,7,$0.00 
14,5/25/18,8,$0.00 
14,5/25/18,9,$0.00 
14,5/25/18,10,$0.00 
14,5/25/18,11,$0.00 
14,5/25/18,12,$0.00 
14,5/25/18,14,$0.00 
14,5/25/18,19,$0.01 
14,5/25/18,20,$0.00 
14,5/25/18,21,$0.01 
14,5/25/18,22,$0.00 
14,5/26/18,22,$0.00 
14,5/27/18,5,$0.00 
14,5/27/18,8,$0.00 
14,5/27/18,22,$0.00 
14,5/28/18,10,$0.00 
14,5/28/18,14,$0.00 
14,5/28/18,20,$0.00 
14,5/29/18,6,$0.00 
14,5/29/18,7,$0.00 
14,5/29/18,8,$0.00 
14,5/29/18,14,$0.00 
14,5/29/18,16,$0.00 
14,5/29/18,17,$0.00 
14,5/29/18,20,$0.01 
14,5/29/18,21,$0.03 
14,5/29/18,22,$0.02 
14,5/29/18,23,$0.02 
14,5/30/18,0,$0.02 
14,5/30/18,1,$0.00 
14,5/30/18,5,$0.02 
14,5/30/18,6,$0.00 
14,5/30/18,7,$0.01 
14,5/30/18,8,$0.00 
14,5/30/18,9,$0.00 
14,5/30/18,10,$0.00 
14,5/30/18,11,$0.01 
14,5/30/18,12,$0.02 
14,5/30/18,13,$0.01 
14,5/30/18,14,$0.01 
14,5/30/18,15,$0.00 
14,5/30/18,16,$0.02 
14,5/30/18,17,$0.03 
14,5/30/18,19,$0.02 
14,5/30/18,20,$0.02 
14,5/30/18,21,$0.01 
